order_id,order_datetime,order_date,product_id,product_name,category,brand,region,country,sales_channel,sales_rep,customer_tier,payment_method,quantity,unit_price_usd,unit_cost_usd,discount_pct,discount_amount_usd,gross_revenue_usd,net_revenue_usd,cogs_usd,gross_profit_usd,order_status,is_returned
ORD-20250629-100000,2025-06-29 21:25:19,2025-06-29,PRD-1014,Cable Management Kit,Accessories,DeskPro,Asia Pacific,Singapore,Partner,Omar Hassan,Bronze,Debit Card,9,11.42,4.5,0,0.0,102.81,102.81,40.5,62.31,Completed,0
ORD-20250629-100001,2025-06-29 12:41:16,2025-06-29,PRD-1002,USB-C Hub 7-in-1,Electronics,ConnectMax,North America,United States,Retail,Carlos Rivera,Gold,Bank Transfer,3,15.59,12.0,0,0.0,46.76,46.76,36.0,10.76,Completed,0
ORD-20250629-100002,2025-06-29 20:32:18,2025-06-29,PRD-1020,Gel Mouse Pad XL,Accessories,TypeMaster,Latin America,Colombia,Online,Anna Mueller,Bronze,Google Pay,3,13.62,4.0,15,6.13,40.87,34.74,12.0,22.74,Completed,0
ORD-20250629-100003,2025-06-29 06:48:12,2025-06-29,PRD-1010,Portable SSD 1TB,Storage,DataVault,Middle East,UAE,Direct Sales,Tom Anderson,Gold,Google Pay,6,41.66,30.0,5,12.5,249.95,237.45,180.0,57.45,Completed,0
ORD-20250629-100004,2025-06-29 03:12:34,2025-06-29,PRD-1004,Standing Desk Mat,Furniture,ComfortPlus,North America,Mexico,Wholesale,Nina Rossi,Gold,PayPal,2,27.76,18.0,15,8.33,55.53,47.2,36.0,11.2,Completed,0
ORD-20250629-100005,2025-06-29 21:12:15,2025-06-29,PRD-1019,Smart Notebook Reusable,Office,WriteRight,Middle East,Saudi Arabia,Retail,Anna Mueller,Bronze,Apple Pay,3,16.37,7.0,0,0.0,49.11,49.11,21.0,28.11,Completed,0
ORD-20250629-100006,2025-06-29 03:45:44,2025-06-29,PRD-1020,Gel Mouse Pad XL,Accessories,TypeMaster,Asia Pacific,South Korea,Direct Sales,Anna Mueller,Silver,Bank Transfer,2,1.02,4.0,0,0.0,2.05,2.05,8.0,-5.95,Completed,0
ORD-20250629-100007,2025-06-29 04:28:06,2025-06-29,PRD-1002,USB-C Hub 7-in-1,Electronics,ConnectMax,Middle East,UAE,Retail,Nina Rossi,Platinum,Apple Pay,10,19.99,12.0,10,19.99,199.94,179.95,120.0,59.95,Cancelled,0
ORD-20250629-100008,2025-06-29 09:49:30,2025-06-29,PRD-1009,Smart LED Desk Lamp,Lighting,BrightLife,Asia Pacific,Singapore,Partner,Lisa Park,Silver,Google Pay,10,12.64,12.5,15,18.96,126.37,107.41,125.0,-17.59,Completed,0
ORD-20250629-100009,2025-06-29 22:59:33,2025-06-29,PRD-1017,Desk Organizer Bamboo,Office,EcoDesk,Asia Pacific,Japan,Direct Sales,Priya Patel,Gold,Google Pay,7,19.8,9.0,0,0.0,138.57,138.57,63.0,75.57,Completed,0
ORD-20250629-100010,2025-06-29 19:26:40,2025-06-29,PRD-1011,Wireless Mouse Slim,Electronics,ConnectMax,Latin America,Brazil,Online,David Kim,Platinum,Apple Pay,9,11.32,9.0,0,0.0,101.91,101.91,81.0,20.91,Completed,0
