order_id,order_datetime,order_date,product_id,product_name,category,brand,region,country,sales_channel,sales_rep,customer_tier,payment_method,quantity,unit_price_usd,unit_cost_usd,discount_pct,discount_amount_usd,gross_revenue_usd,net_revenue_usd,cogs_usd,gross_profit_usd,order_status,is_returned
ORD-20250627-100000,2025-06-27 23:06:43,2025-06-27,PRD-1004,Standing Desk Mat,Furniture,ComfortPlus,North America,Mexico,Partner,Mike Chen,Platinum,Credit Card,5,19.12,18.0,0,0.0,95.61,95.61,90.0,5.61,Completed,0
ORD-20250627-100001,2025-06-27 17:12:45,2025-06-27,PRD-1001,Wireless Headphones Pro,Electronics,AudioTech,North America,United States,Partner,Priya Patel,Silver,Bank Transfer,4,52.63,45.0,0,0.0,210.54,210.54,180.0,30.54,Completed,0
ORD-20250627-100002,2025-06-27 08:09:13,2025-06-27,PRD-1019,Smart Notebook Reusable,Office,WriteRight,Middle East,UAE,Wholesale,Mike Chen,Bronze,Bank Transfer,3,19.45,7.0,0,0.0,58.36,58.36,21.0,37.36,Returned,1
ORD-20250627-100003,2025-06-27 23:29:34,2025-06-27,PRD-1004,Standing Desk Mat,Furniture,ComfortPlus,Middle East,Egypt,Direct Sales,Mike Chen,Gold,Google Pay,10,19.61,18.0,0,0.0,196.13,196.13,180.0,16.13,Completed,0
ORD-20250627-100004,2025-06-27 09:05:54,2025-06-27,PRD-1020,Gel Mouse Pad XL,Accessories,TypeMaster,Middle East,Saudi Arabia,Online,Priya Patel,Gold,Bank Transfer,2,0.15,4.0,0,0.0,0.29,0.29,8.0,-7.71,Completed,0
ORD-20250627-100005,2025-06-27 22:59:43,2025-06-27,PRD-1012,Monitor Arm Dual,Furniture,DeskPro,Europe,United Kingdom,Partner,Nina Rossi,Silver,Apple Pay,6,22.24,22.0,0,0.0,133.43,133.43,132.0,1.43,Completed,0
ORD-20250627-100006,2025-06-27 22:35:14,2025-06-27,PRD-1008,Noise Cancelling Earbuds,Electronics,AudioTech,Europe,Netherlands,Online,Carlos Rivera,Bronze,PayPal,7,23.75,22.0,15,24.94,166.24,141.3,154.0,-12.7,Completed,0
ORD-20250627-100007,2025-06-27 22:20:13,2025-06-27,PRD-1013,Thermal Coffee Mug,Kitchen,BrewKeep,Middle East,UAE,Direct Sales,Nina Rossi,Platinum,Debit Card,4,23.83,6.0,10,9.53,95.31,85.78,24.0,61.78,Completed,0
ORD-20250627-100008,2025-06-27 18:27:57,2025-06-27,PRD-1009,Smart LED Desk Lamp,Lighting,BrightLife,Europe,France,Wholesale,Carlos Rivera,Silver,Apple Pay,9,20.97,12.5,15,28.32,188.77,160.45,112.5,47.95,Completed,0
ORD-20250627-100009,2025-06-27 21:27:38,2025-06-27,PRD-1016,Blue Light Glasses,Accessories,VisionShield,North America,United States,Direct Sales,Tom Anderson,Platinum,Apple Pay,2,4.32,5.5,0,0.0,8.64,8.64,11.0,-2.36,Completed,0
ORD-20250627-100010,2025-06-27 08:49:41,2025-06-27,PRD-1009,Smart LED Desk Lamp,Lighting,BrightLife,Latin America,Brazil,Wholesale,Priya Patel,Silver,Bank Transfer,2,24.54,12.5,10,4.91,49.09,44.18,25.0,19.18,Completed,0
ORD-20250627-100011,2025-06-27 20:19:53,2025-06-27,PRD-1001,Wireless Headphones Pro,Electronics,AudioTech,Middle East,Saudi Arabia,Partner,Carlos Rivera,Silver,PayPal,9,62.82,45.0,20,113.07,565.34,452.27,405.0,47.27,Completed,0
ORD-20250627-100012,2025-06-27 03:59:23,2025-06-27,PRD-1006,4K Webcam HD,Electronics,VisionTech,Latin America,Brazil,Wholesale,Carlos Rivera,Bronze,Debit Card,10,31.1,28.0,0,0.0,311.04,311.04,280.0,31.04,Completed,0
ORD-20250627-100013,2025-06-27 17:49:08,2025-06-27,PRD-1019,Smart Notebook Reusable,Office,WriteRight,North America,United States,Direct Sales,Lisa Park,Silver,PayPal,8,22.4,7.0,20,35.84,179.2,143.36,56.0,87.36,Completed,0
ORD-20250627-100014,2025-06-27 23:44:12,2025-06-27,PRD-1017,Desk Organizer Bamboo,Office,EcoDesk,Latin America,Chile,Direct Sales,Nina Rossi,Gold,Bank Transfer,4,27.22,9.0,20,21.78,108.89,87.11,36.0,51.11,Completed,0
ORD-20250627-100015,2025-06-27 00:37:35,2025-06-27,PRD-1017,Desk Organizer Bamboo,Office,EcoDesk,Asia Pacific,Japan,Retail,Sarah Johnson,Bronze,Google Pay,4,9.62,9.0,0,0.0,38.47,38.47,36.0,2.47,Completed,0
ORD-20250627-100016,2025-06-27 16:15:17,2025-06-27,PRD-1002,USB-C Hub 7-in-1,Electronics,ConnectMax,Europe,Germany,Retail,Lisa Park,Silver,Google Pay,1,28.49,12.0,0,0.0,28.49,28.49,12.0,16.49,Completed,0
ORD-20250627-100017,2025-06-27 13:12:06,2025-06-27,PRD-1019,Smart Notebook Reusable,Office,WriteRight,Latin America,Chile,Direct Sales,James Wilson,Platinum,Bank Transfer,4,21.62,7.0,20,17.29,86.46,69.17,28.0,41.17,Completed,0
ORD-20250627-100018,2025-06-27 10:51:55,2025-06-27,PRD-1015,Phone Wireless Charger,Electronics,ChargeFast,North America,Mexico,Retail,Carlos Rivera,Platinum,Debit Card,2,4.52,8.0,15,1.35,9.03,7.68,16.0,-8.32,Completed,0
ORD-20250627-100019,2025-06-27 14:51:55,2025-06-27,PRD-1014,Cable Management Kit,Accessories,DeskPro,Europe,United Kingdom,Online,Sarah Johnson,Bronze,Credit Card,8,5.75,4.5,0,0.0,45.96,45.96,36.0,9.96,Completed,0
ORD-20250627-100020,2025-06-27 12:57:03,2025-06-27,PRD-1008,Noise Cancelling Earbuds,Electronics,AudioTech,Europe,Netherlands,Online,Priya Patel,Gold,Bank Transfer,8,29.03,22.0,20,46.45,232.27,185.82,176.0,9.82,Completed,0
ORD-20250627-100021,2025-06-27 06:03:37,2025-06-27,PRD-1010,Portable SSD 1TB,Storage,DataVault,Asia Pacific,India,Online,David Kim,Gold,Credit Card,8,28.87,30.0,0,0.0,230.96,230.96,240.0,-9.04,Completed,0
ORD-20250627-100022,2025-06-27 05:03:32,2025-06-27,PRD-1002,USB-C Hub 7-in-1,Electronics,ConnectMax,Latin America,Chile,Retail,Mike Chen,Bronze,Google Pay,9,29.98,12.0,10,26.99,269.86,242.87,108.0,134.87,Completed,0
ORD-20250627-100023,2025-06-27 01:39:05,2025-06-27,PRD-1008,Noise Cancelling Earbuds,Electronics,AudioTech,Asia Pacific,Japan,Partner,Tom Anderson,Gold,PayPal,10,23.16,22.0,10,23.16,231.55,208.39,220.0,-11.61,Completed,0
ORD-20250627-100024,2025-06-27 20:19:29,2025-06-27,PRD-1007,Laptop Stand Aluminum,Accessories,DeskPro,Middle East,Saudi Arabia,Online,Sarah Johnson,Platinum,Apple Pay,5,14.89,10.0,15,11.17,74.47,63.3,50.0,13.3,Completed,0
ORD-20250627-100025,2025-06-27 04:59:22,2025-06-27,PRD-1019,Smart Notebook Reusable,Office,WriteRight,North America,United States,Retail,James Wilson,Gold,Debit Card,9,7.33,7.0,0,0.0,65.96,65.96,63.0,2.96,Completed,0
ORD-20250627-100026,2025-06-27 20:33:00,2025-06-27,PRD-1015,Phone Wireless Charger,Electronics,ChargeFast,Latin America,Colombia,Partner,Anna Mueller,Bronze,Debit Card,10,27.6,8.0,20,55.19,275.96,220.77,80.0,140.77,Completed,0
ORD-20250627-100027,2025-06-27 19:13:45,2025-06-27,PRD-1009,Smart LED Desk Lamp,Lighting,BrightLife,North America,United States,Wholesale,Lisa Park,Platinum,PayPal,9,11.39,12.5,0,0.0,102.48,102.48,112.5,-10.02,Completed,0
ORD-20250627-100028,2025-06-27 00:21:49,2025-06-27,PRD-1002,USB-C Hub 7-in-1,Electronics,ConnectMax,North America,Mexico,Wholesale,Emily Davis,Platinum,Apple Pay,7,27.73,12.0,0,0.0,194.14,194.14,84.0,110.14,Completed,0
ORD-20250627-100029,2025-06-27 04:34:02,2025-06-27,PRD-1014,Cable Management Kit,Accessories,DeskPro,Latin America,Brazil,Partner,Lisa Park,Silver,Bank Transfer,2,1.38,4.5,15,0.41,2.76,2.35,9.0,-6.65,Completed,0
ORD-20250627-100030,2025-06-27 01:57:22,2025-06-27,PRD-1005,Mechanical Keyboard RGB,Electronics,TypeMaster,North America,Canada,Retail,Nina Rossi,Bronze,PayPal,6,55.47,38.0,20,66.57,332.85,266.28,228.0,38.28,Completed,0
ORD-20250627-100031,2025-06-27 05:51:51,2025-06-27,PRD-1018,Portable Projector Mini,Electronics,VisionTech,Asia Pacific,India,Direct Sales,Sarah Johnson,Silver,Google Pay,3,98.14,80.0,0,0.0,294.43,294.43,240.0,54.43,Completed,0
ORD-20250627-100032,2025-06-27 03:24:55,2025-06-27,PRD-1011,Wireless Mouse Slim,Electronics,ConnectMax,Asia Pacific,Australia,Direct Sales,Carlos Rivera,Silver,Bank Transfer,5,7.98,9.0,15,5.98,39.9,33.92,45.0,-11.08,Completed,0
ORD-20250627-100033,2025-06-27 12:21:17,2025-06-27,PRD-1012,Monitor Arm Dual,Furniture,DeskPro,Middle East,Saudi Arabia,Wholesale,James Wilson,Platinum,Google Pay,4,17.59,22.0,0,0.0,70.37,70.37,88.0,-17.63,Completed,0
